Year,Season,Day,CropsSold,CropRevenue,LivestockRevenue,Expenses,TotalRevenue,NetProfit
1,Spring,1,16,3056,225,464,3281,2817
1,Spring,2,34,4182,401,272,4583,4311
1,Spring,3,48,7392,422,423,7814,7391
1,Spring,4,8,1592,290,386,1882,1496
1,Spring,5,2,274,511,65,785,720
1,Spring,6,19,1463,643,89,2106,2017
1,Spring,7,0,0,325,79,325,246
1,Spring,8,3,600,453,149,1053,904
1,Spring,9,28,2464,230,69,2694,2625
1,Spring,10,5,820,490,71,1310,1239
1,Spring,11,3,186,360,307,546,239
1,Spring,12,10,1520,552,200,2072,1872
1,Spring,13,7,798,756,462,1554,1092
1,Spring,14,34,6426,176,195,6602,6407
1,Spring,15,25,2725,878,90,3603,3513
1,Spring,16,42,4830,908,158,5738,5580
1,Spring,17,21,2541,782,394,3323,2929
1,Spring,18,35,4270,319,349,4589,4240
1,Spring,19,11,1023,548,439,1571,1132
1,Spring,20,27,1458,726,329,2184,1855
1,Spring,21,42,4200,301,213,4501,4288
1,Spring,22,46,6578,103,440,6681,6241
1,Spring,23,2,116,460,102,576,474
1,Spring,24,8,1504,259,419,1763,1344
1,Spring,25,12,2016,834,85,2850,2765
1,Spring,26,46,6716,788,296,7504,7208
1,Spring,27,10,1260,181,436,1441,1005
1,Spring,28,50,7800,988,330,8788,8458
1,Summer,1,27,1944,108,291,2052,1761
1,Summer,2,15,1110,567,287,1677,1390
1,Summer,3,47,3525,256,154,3781,3627
1,Summer,4,31,5859,414,398,6273,5875
1,Summer,5,42,5922,649,394,6571,6177
1,Summer,6,31,2852,664,470,3516,3046
1,Summer,7,47,8178,470,184,8648,8464
1,Summer,8,22,1694,970,487,2664,2177
1,Summer,9,47,7238,813,155,8051,7896
1,Summer,10,3,588,365,149,953,804
1,Summer,11,9,1188,662,336,1850,1514
1,Summer,12,50,2550,499,487,3049,2562
1,Summer,13,43,2709,990,161,3699,3538
1,Summer,14,4,560,790,212,1350,1138
1,Summer,15,9,675,177,473,852,379
1,Summer,16,38,5092,177,358,5269,4911
1,Summer,17,48,4272,833,303,5105,4802
1,Summer,18,22,2640,333,466,2973,2507
1,Summer,19,26,2964,682,372,3646,3274
1,Summer,20,42,3822,886,148,4708,4560
1,Summer,21,29,3915,869,427,4784,4357
1,Summer,22,22,4070,354,103,4424,4321
1,Summer,23,5,530,748,441,1278,837
1,Summer,24,44,4180,993,146,5173,5027
1,Summer,25,14,2352,241,103,2593,2490
1,Summer,26,45,6390,1000,446,7390,6944
1,Summer,27,13,1664,157,122,1821,1699
1,Summer,28,38,5738,863,180,6601,6421
1,Fall,1,6,1044,595,183,1639,1456
1,Fall,2,37,6290,821,449,7111,6662
1,Fall,3,25,4925,797,209,5722,5513
1,Fall,4,2,118,525,302,643,341
1,Fall,5,46,5474,792,497,6266,5769
1,Fall,6,30,2880,928,405,3808,3403
1,Fall,7,12,2232,708,328,2940,2612
1,Fall,8,32,4512,957,424,5469,5045
1,Fall,9,41,4838,781,109,5619,5510
1,Fall,10,17,3009,430,152,3439,3287
1,Fall,11,25,3575,120,415,3695,3280
1,Fall,12,18,2682,434,157,3116,2959
1,Fall,13,7,1099,282,251,1381,1130
1,Fall,14,20,1060,288,462,1348,886
1,Fall,15,0,0,362,93,362,269
1,Fall,16,6,954,810,302,1764,1462
1,Fall,17,34,6528,314,391,6842,6451
1,Fall,18,27,1755,632,176,2387,2211
1,Fall,19,26,2236,335,497,2571,2074
1,Fall,20,10,960,266,446,1226,780
1,Fall,21,16,1120,526,136,1646,1510
1,Fall,22,5,520,764,141,1284,1143
1,Fall,23,32,2240,536,249,2776,2527
1,Fall,24,22,3542,561,73,4103,4030
1,Fall,25,34,3808,625,104,4433,4329
1,Fall,26,36,1836,215,256,2051,1795
1,Fall,27,41,4100,386,362,4486,4124
1,Fall,28,4,564,721,175,1285,1110
1,Winter,1,36,5040,357,314,5397,5083
1,Winter,2,10,1670,164,86,1834,1748
1,Winter,3,32,5312,360,462,5672,5210
1,Winter,4,43,3268,160,453,3428,2975
1,Winter,5,18,2682,369,405,3051,2646
1,Winter,6,43,5504,215,399,5719,5320
1,Winter,7,49,8036,171,65,8207,8142
1,Winter,8,47,6580,219,184,6799,6615
1,Winter,9,44,7480,53,361,7533,7172
1,Winter,10,0,0,69,51,69,18
1,Winter,11,41,6191,90,156,6281,6125
1,Winter,12,10,910,356,227,1266,1039
1,Winter,13,3,228,300,456,528,72
1,Winter,14,22,4070,127,189,4197,4008
1,Winter,15,19,3496,344,205,3840,3635
1,Winter,16,12,1572,314,199,1886,1687
1,Winter,17,17,2703,238,461,2941,2480
1,Winter,18,25,2600,116,198,2716,2518
1,Winter,19,11,1716,324,418,2040,1622
1,Winter,20,25,1800,64,347,1864,1517
1,Winter,21,25,4025,331,409,4356,3947
1,Winter,22,12,1272,114,392,1386,994
1,Winter,23,13,793,252,382,1045,663
1,Winter,24,45,8280,398,158,8678,8520
1,Winter,25,15,1635,383,403,2018,1615
1,Winter,26,39,6825,348,415,7173,6758
1,Winter,27,21,2730,257,75,2987,2912
1,Winter,28,36,3924,195,381,4119,3738
2,Spring,1,41,6560,636,232,7196,6964
2,Spring,2,31,3410,363,108,3773,3665
2,Spring,3,43,6364,956,117,7320,7203
2,Spring,4,24,4632,239,439,4871,4432
2,Spring,5,32,4800,895,455,5695,5240
2,Spring,6,13,1040,304,355,1344,989
2,Spring,7,3,360,633,241,993,752
2,Spring,8,13,2054,896,391,2950,2559
2,Spring,9,12,1632,483,115,2115,2000
2,Spring,10,15,2850,449,68,3299,3231
2,Spring,11,48,8784,257,124,9041,8917
2,Spring,12,19,3021,782,320,3803,3483
2,Spring,13,23,3519,247,107,3766,3659
2,Spring,14,7,1267,313,280,1580,1300
2,Spring,15,37,2590,445,236,3035,2799
2,Spring,16,17,3128,276,203,3404,3201
2,Spring,17,24,2304,444,65,2748,2683
2,Spring,18,15,2535,409,54,2944,2890
2,Spring,19,24,3072,531,133,3603,3470
2,Spring,20,18,936,321,431,1257,826
2,Spring,21,23,4002,135,77,4137,4060
2,Spring,22,11,2167,871,86,3038,2952
2,Spring,23,1,125,915,349,1040,691
2,Spring,24,45,5715,955,153,6670,6517
2,Spring,25,10,790,901,276,1691,1415
2,Spring,26,37,3552,142,53,3694,3641
2,Spring,27,8,1280,944,191,2224,2033
2,Spring,28,21,3801,990,269,4791,4522
2,Summer,1,46,8740,685,395,9425,9030
2,Summer,2,28,2772,121,370,2893,2523
2,Summer,3,15,1845,501,433,2346,1913
2,Summer,4,32,5824,425,319,6249,5930
2,Summer,5,11,1991,117,130,2108,1978
2,Summer,6,20,1920,828,346,2748,2402
2,Summer,7,50,6800,526,415,7326,6911
2,Summer,8,34,2686,913,396,3599,3203
2,Summer,9,11,748,616,437,1364,927
2,Summer,10,33,5445,158,222,5603,5381
2,Summer,11,36,5616,736,108,6352,6244
2,Summer,12,37,2220,786,271,3006,2735
2,Summer,13,15,945,851,364,1796,1432
2,Summer,14,12,1752,478,375,2230,1855
2,Summer,15,32,5280,171,402,5451,5049
2,Summer,16,14,2478,359,217,2837,2620
2,Summer,17,47,8460,430,249,8890,8641
2,Summer,18,14,2002,528,315,2530,2215
2,Summer,19,13,1144,752,467,1896,1429
2,Summer,20,40,4560,559,357,5119,4762
2,Summer,21,25,2750,459,260,3209,2949
2,Summer,22,27,1701,539,327,2240,1913
2,Summer,23,2,120,732,348,852,504
2,Summer,24,3,363,440,121,803,682
2,Summer,25,47,3619,805,115,4424,4309
2,Summer,26,18,2412,314,62,2726,2664
2,Summer,27,28,1848,754,500,2602,2102
2,Summer,28,23,2967,626,293,3593,3300
2,Fall,1,8,1544,768,67,2312,2245
2,Fall,2,36,5724,850,454,6574,6120
2,Fall,3,47,7097,227,302,7324,7022
2,Fall,4,11,704,477,332,1181,849
2,Fall,5,42,5502,524,204,6026,5822
2,Fall,6,15,1815,501,267,2316,2049
2,Fall,7,8,1168,569,354,1737,1383
2,Fall,8,34,3434,591,273,4025,3752
2,Fall,9,29,3741,276,250,4017,3767
2,Fall,10,23,2944,345,186,3289,3103
2,Fall,11,8,1048,613,236,1661,1425
2,Fall,12,3,333,695,379,1028,649
2,Fall,13,49,7252,749,211,8001,7790
2,Fall,14,18,2718,719,339,3437,3098
2,Fall,15,9,1629,396,234,2025,1791
2,Fall,16,46,4554,847,113,5401,5288
2,Fall,17,38,6422,139,86,6561,6475
2,Fall,18,38,5054,191,57,5245,5188
2,Fall,19,3,183,567,348,750,402
2,Fall,20,8,1240,329,180,1569,1389
2,Fall,21,16,2576,122,238,2698,2460
2,Fall,22,22,3850,901,451,4751,4300
2,Fall,23,7,490,169,231,659,428
2,Fall,24,45,8550,609,413,9159,8746
2,Fall,25,26,5096,693,497,5789,5292
2,Fall,26,44,3740,361,351,4101,3750
2,Fall,27,6,864,398,432,1262,830
2,Fall,28,4,604,507,228,1111,883
2,Winter,1,44,2992,303,210,3295,3085
2,Winter,2,14,2730,169,89,2899,2810
2,Winter,3,34,4216,272,390,4488,4098
2,Winter,4,46,5152,227,175,5379,5204
2,Winter,5,30,5880,379,115,6259,6144
2,Winter,6,15,2160,130,456,2290,1834
2,Winter,7,41,5166,195,372,5361,4989
2,Winter,8,27,5292,160,92,5452,5360
2,Winter,9,23,2668,363,242,3031,2789
2,Winter,10,47,9165,115,246,9280,9034
2,Winter,11,48,4464,392,218,4856,4638
2,Winter,12,46,4462,81,163,4543,4380
2,Winter,13,18,3456,341,362,3797,3435
2,Winter,14,5,585,384,415,969,554
2,Winter,15,20,3500,352,344,3852,3508
2,Winter,16,47,3337,209,258,3546,3288
2,Winter,17,13,2132,66,147,2198,2051
2,Winter,18,4,772,141,417,913,496
2,Winter,19,30,3240,355,283,3595,3312
2,Winter,20,12,1320,116,178,1436,1258
2,Winter,21,21,2058,259,288,2317,2029
2,Winter,22,11,1298,138,221,1436,1215
2,Winter,23,7,1106,250,228,1356,1128
2,Winter,24,22,2068,357,273,2425,2152
2,Winter,25,6,942,371,441,1313,872
2,Winter,26,37,7104,389,341,7493,7152
2,Winter,27,27,3429,147,304,3576,3272
2,Winter,28,50,6850,259,328,7109,6781
